variant,pool,model,tier,count,percentage,percentageText,avgAge,avgMPG,avgValue,avgValueNoPot,avgGetContractValue,avgPER,avgEWA,avgVORP,avgBPM
A,top15_roster_proxy,A,LOW_END_STARTER,41,0.095128,9.5%,28.146,28.969,56.683,57.841,57.752,15.686,3.837,1.241,0.49
A,top15_roster_proxy,A,SPECIALIST_ROTATION,7,0.016241,1.6%,26.857,19.996,54.003,54.209,54.219,13.269,1.845,0.554,-1.143
A,top15_roster_proxy,A,YOUNG_UPSIDE_SUSPECT,25,0.058005,5.8%,21.8,18.937,60.162,53.598,55.3,13.338,1.475,0.226,-1.546
A,top15_roster_proxy,A,VETERAN_ROTATION_GUARD,13,0.030162,3.0%,30.769,25.225,52.718,56.523,56.017,17.243,3.694,1.938,3.354
A,top15_roster_proxy,A,LOW_ROTATION_PLUS,9,0.020882,2.1%,25.111,10.926,53.76,52.755,53.03,14.645,1.089,0.213,-0.854
A,top15_roster_proxy,A,VETERAN_MINIMUM_PLUS,5,0.011601,1.2%,32,22.405,52.278,56.688,56.159,15.69,2.578,0.555,-0.476
A,top15_roster_proxy,A,MINIMUM_LEVEL,270,0.62645,62.6%,26.548,13.815,50.096,49.515,49.832,10.522,0.349,-0.163,-3.772
A,contract_relevant,current,SUPERSTAR_MAX,0,0,0.0%,,,,,,,,,
A,contract_relevant,current,STAR_NEAR_MAX,5,0.015528,1.6%,27,34.581,65.824,67.467,67.266,24.118,12.018,5.52,7.556
A,contract_relevant,current,YOUNG_PROVEN_STARTER,7,0.021739,2.2%,23.429,32.944,65.625,62.331,62.99,19.762,8.305,2.577,2.339
A,contract_relevant,current,SOLID_STARTER,0,0,0.0%,,,,,,,,,
A,contract_relevant,current,LOW_END_STARTER,18,0.055901,5.6%,29.889,30.085,56.672,59.525,59.167,17.077,5.089,2.108,2.072
A,contract_relevant,current,SPECIALIST_ROTATION,6,0.018634,1.9%,26.333,18.895,53.293,53.531,53.483,13.33,1.384,0.336,-1.015
A,contract_relevant,current,YOUNG_UPSIDE_SUSPECT,5,0.015528,1.6%,22,21.526,61.563,55.476,56.979,15.168,2.638,0.713,-0.373
A,contract_relevant,current,VETERAN_ROTATION_GUARD,5,0.015528,1.6%,30.6,24.544,53.959,57.846,57.338,18.531,3.553,1.98,4.79
A,contract_relevant,current,LOW_ROTATION_PLUS,3,0.009317,0.9%,24,7.72,53.064,50.84,51.436,16.543,1.312,0.327,0.251
A,contract_relevant,current,VETERAN_MINIMUM_PLUS,3,0.009317,0.9%,31,20.678,52.202,56.317,55.824,15.991,2.997,0.824,0.184
A,contract_relevant,current,MINIMUM_LEVEL,270,0.838509,83.9%,26.637,8.076,43.837,42.645,43.157,7.452,-0.059,-0.148,-4.969
A,contract_relevant,A,SUPERSTAR_MAX,0,0,0.0%,,,,,,,,,
A,contract_relevant,A,STAR_NEAR_MAX,5,0.015528,1.6%,27,34.581,65.824,67.467,67.266,24.118,12.018,5.52,7.556
A,contract_relevant,A,YOUNG_PROVEN_STARTER,7,0.021739,2.2%,23.429,32.944,65.625,62.331,62.99,19.762,8.305,2.577,2.339
A,contract_relevant,A,SOLID_STARTER,5,0.015528,1.6%,30,33.589,59.412,63.618,63.063,20.17,8.55,3.919,4.87
A,contract_relevant,A,LOW_END_STARTER,13,0.040373,4.0%,29.846,28.738,55.618,57.951,57.668,15.887,3.758,1.411,0.996
A,contract_relevant,A,SPECIALIST_ROTATION,6,0.018634,1.9%,26.333,18.895,53.293,53.531,53.483,13.33,1.384,0.336,-1.015
A,contract_relevant,A,YOUNG_UPSIDE_SUSPECT,5,0.015528,1.6%,22,21.526,61.563,55.476,56.979,15.168,2.638,0.713,-0.373
A,contract_relevant,A,VETERAN_ROTATION_GUARD,5,0.015528,1.6%,30.6,24.544,53.959,57.846,57.338,18.531,3.553,1.98,4.79
A,contract_relevant,A,LOW_ROTATION_PLUS,3,0.009317,0.9%,24,7.72,53.064,50.84,51.436,16.543,1.312,0.327,0.251
A,contract_relevant,A,VETERAN_MINIMUM_PLUS,3,0.009317,0.9%,31,20.678,52.202,56.317,55.824,15.991,2.997,0.824,0.184
A,contract_relevant,A,MINIMUM_LEVEL,270,0.838509,83.9%,26.637,8.076,43.837,42.645,43.157,7.452,-0.059,-0.148,-4.969
