variant,section,lane,pool,currentTier,candidateTier,signalOrCombination,count,percentage,notes
A,labeled_solid_case,SOLID_STARTER,,LOW_END_STARTER,SOLID_STARTER,role: starterShare >= 0.6; role: GS >= 41; role: MPG >= 30; value core: valueNoPot >= 59 and contractValue >= 59; production: BPM >= 0.5; production: EWA >= 4; production: VORP >= 0.8; production: PER >= 15.5; extra: BPM >= 1; extra: EWA >= 5; extra: VORP >= 1; extra: PER >= 16; extra: defense/rebounding/connector support,1,,boundary40 H-02; bucket good_high_starter; human $30.00M-$35.00M; current point 17.03; candidate point 24.99; too_low
A,labeled_solid_case,SOLID_STARTER,,LOW_END_STARTER,SOLID_STARTER,role: starterShare >= 0.6; role: GS >= 41; role: MPG >= 30; value core: valueNoPot >= 59 and contractValue >= 59; production: BPM >= 0.5; production: EWA >= 4; production: VORP >= 0.8; production: PER >= 15.5; extra: BPM >= 1; extra: EWA >= 5; extra: VORP >= 1; extra: PER >= 16; extra: defense/rebounding/connector support,1,,validation20 V20-09; bucket low_end_starter_good_rotation; human $22.00M-$27.00M; current point 15.65; candidate point 23.87; inside
A,labeled_solid_case,SOLID_STARTER,,LOW_END_STARTER,SOLID_STARTER,role: starterShare >= 0.6; role: GS >= 41; role: MPG >= 30; value core: valueNoPot >= 59 and contractValue >= 59; production: BPM >= 0.5; production: EWA >= 4; production: VORP >= 0.8; production: PER >= 15.5; extra: BPM >= 1; extra: EWA >= 5; extra: VORP >= 1; extra: PER >= 16; extra: defense/rebounding/connector support; extra: age <= 27 with value/pot support,1,,validation20 V20-10; bucket low_end_starter_good_rotation; human $24.00M-$29.00M; current point 16.86; candidate point 24.88; inside
A,labeled_solid_case,SOLID_STARTER,,LOW_END_STARTER,SOLID_STARTER,role: starterShare >= 0.6; role: GS >= 41; role: MPG >= 30; value core: valueNoPot >= 59 and contractValue >= 59; production: BPM >= 0.5; production: EWA >= 4; production: VORP >= 0.8; production: PER >= 15.5; extra: EWA >= 5; extra: VORP >= 1; extra: PER >= 16; extra: defense/rebounding/connector support,1,,validation20 V20-11; bucket low_end_starter_good_rotation; human $24.00M-$28.00M; current point 15.4; candidate point 23.66; too_low
B,hard_floor,SOLID_STARTER,,,,,19,3.0%,passes current LOW_END_STARTER eligibility + GP/MPG/value hard floor
B,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,valueNoPot < 60,563,88.8%,
B,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,contractValue < 60,562,88.6%,
B,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,MPG < 29,543,85.6%,
B,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,production core count < 2,505,79.7%,
B,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,BPM < 0 without exception path,474,74.8%,
B,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,missing role core,470,74.1%,
B,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier MINIMUM_LEVEL blocked,460,72.6%,
B,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,missing extra support,399,62.9%,
B,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,GP < 55,249,39.3%,
B,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier YOUNG_UPSIDE_SUSPECT blocked,26,4.1%,
B,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier YOUNG_PROVEN_STARTER blocked,24,3.8%,
B,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier STAR_NEAR_MAX blocked,19,3.0%,
B,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier VETERAN_ROTATION_GUARD blocked,14,2.2%,
B,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier LOW_ROTATION_PLUS blocked,10,1.6%,
B,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier SPECIALIST_ROTATION blocked,9,1.4%,
B,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier VETERAN_MINIMUM_PLUS blocked,6,0.9%,
B,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier SUPERSTAR_MAX blocked,3,0.5%,
B,entrants_by_pool,SOLID_STARTER,all_active,,,,17,2.7%,
