variant,pool,model,tier,count,tierMinCapPct,tierMidpointCapPct,tierMaxCapPct,totalImpliedMinCapPct,totalImpliedMidpointCapPct,totalImpliedMaxCapPct,impliedMidpointCapPctPer30Teams,deltaTotalMidpointCapPctVsCurrent
C,top15_roster_proxy,C,STAR_NEAR_MAX,17,25.624,27.371,29.118,435.604,465.302,495.001,15.51,0
C,top15_roster_proxy,C,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
C,top15_roster_proxy,C,SOLID_STARTER,8,12,14.5,17,96,116.001,136.003,3.867,116.001
C,top15_roster_proxy,C,LOW_END_STARTER,50,6,9,12,300,450,600,15,-72
C,top15_roster_proxy,C,SPECIALIST_ROTATION,7,3.5,4.5,5.5,24.501,31.501,38.501,1.05,0
C,top15_roster_proxy,C,YOUNG_UPSIDE_SUSPECT,25,2.5,3.5,4.5,62.496,87.496,112.496,2.917,0
C,top15_roster_proxy,C,VETERAN_ROTATION_GUARD,13,4,5,6,52,65,78,2.167,0
C,top15_roster_proxy,C,LOW_ROTATION_PLUS,9,2,2.75,3.5,18,24.751,31.501,0.825,0
C,top15_roster_proxy,C,VETERAN_MINIMUM_PLUS,5,2.355,2.928,3.5,11.775,14.638,17.501,0.488,0
C,top15_roster_proxy,C,MINIMUM_LEVEL,270,1.839,1.977,2.115,496.618,533.885,571.151,17.796,0
C,top15_roster_proxy,C,__TOTAL__,431,4.629,5.458,6.288,1995.002,2352.576,2710.15,78.419,44.001
C,contract_relevant,current,STAR_NEAR_MAX,5,26.4,28.2,30,132.001,141.001,150,4.7,0
